continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Bulgaria,2020-01-05,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-06,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-07,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-08,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-09,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-10,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-11,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-12,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-13,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-14,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-15,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-16,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-17,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-18,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-19,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-20,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-21,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-22,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-23,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-24,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-25,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-26,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-27,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-28,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-29,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-30,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-01-31,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-01,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-02,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-03,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-04,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-05,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-06,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-07,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-08,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-09,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-10,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-11,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-12,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-13,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-14,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-15,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-16,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-17,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-18,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-19,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-20,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-21,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-22,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-23,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-24,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-25,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-26,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-27,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-28,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-02-29,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-03-01,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-03-02,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-03-03,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-03-04,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-03-05,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-03-06,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-03-07,6781955,0.0,0.0,0.0,0.0
Europe,Bulgaria,2020-03-08,6781955,4.0,4.0,0.0,0.0
